Report_Name	Book Access Denied
Report_ID	TR_B2
Release	5
Institution_Name	Robertson Library, UPEI
Institution_ID	SN:3000162182
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:07Z
Created_By	SpringerNature

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Affirmative Mental Health Care for Transgender and Gender Diverse Youth	Springer International Publishing		SpringerLink	10.1007/978-3-319-78307-9	SN:10.1007/978-3-319-78307-9	978-3-319-78307-9				2018	No_License	1	1	0
Agriculture-Centric Computation	Springer Nature Switzerland		SpringerLink	10.1007/978-3-031-43605-5	SN:10.1007/978-3-031-43605-5	978-3-031-43605-5	1865-0929	1865-0937		2023	No_License	5	5	0
Alternative Life-History Styles of Animals	Springer Netherlands		SpringerLink	10.1007/978-94-009-2605-9	SN:10.1007/978-94-009-2605-9	978-94-009-2605-9				1989	No_License	2	2	0
Animal Cell Culture	Humana Press		SpringerLink	10.1385/0896031500	SN:10.1385/0896031500	978-1-59259-492-4	1064-3745	1940-6029		1990	No_License	1	1	0
Applying Landscape Ecology in Biological Conservation	Springer New York		SpringerLink	10.1007/978-1-4613-0059-5	SN:10.1007/978-1-4613-0059-5	978-1-4613-0059-5				2002	No_License	1	1	0
Artificial Intelligence	Springer International Publishing		SpringerLink	10.1007/978-3-030-72357-6	SN:10.1007/978-3-030-72357-6	978-3-030-72357-6				2021	No_License	1	1	0
Artificial Intelligence in Medicine	Springer International Publishing		SpringerLink	10.1007/978-3-030-64573-1	SN:10.1007/978-3-030-64573-1	978-3-030-64573-1				2022	No_License	1	1	0
Artificial Intelligence, Internet of Things, and Society 5.0	Springer Nature Switzerland		SpringerLink	10.1007/978-3-031-43300-9	SN:10.1007/978-3-031-43300-9	978-3-031-43300-9	1860-949X	1860-9503		2023	No_License	1	1	0
Assessing Schools for Generation R (Responsibility)	Springer Netherlands		SpringerLink	10.1007/978-94-007-2748-9	SN:10.1007/978-94-007-2748-9	978-94-007-2748-9	1878-0482	1878-0784		2014	No_License	1	1	0
Axel Honneth and the Critical Theory of Recognition	Springer International Publishing		SpringerLink	10.1007/978-3-319-91980-5	SN:10.1007/978-3-319-91980-5	978-3-319-91980-5	2524-714X	2524-7158		2019	No_License	1	1	0
Basic Graph Theory	Springer International Publishing		SpringerLink	10.1007/978-3-319-49475-3	SN:10.1007/978-3-319-49475-3	978-3-319-49475-3	1863-7310	2197-1781		2017	No_License	1	1	0
Bayesian Methods for the Physical Sciences	Springer International Publishing		SpringerLink	10.1007/978-3-319-15287-5	SN:10.1007/978-3-319-15287-5	978-3-319-15287-5	2199-1030	2199-1049		2015	No_License	1	1	0
Behavioral Adaptation to Intertidal Life	Springer US		SpringerLink	10.1007/978-1-4899-3737-7	SN:10.1007/978-1-4899-3737-7	978-1-4899-3737-7				1988	No_License	1	1	0
Behavioral Neurobiology of Chronic Pain	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-662-45094-9	SN:10.1007/978-3-662-45094-9	978-3-662-45094-9	1866-3370	1866-3389		2014	No_License	1	1	0
Biocatalysis	Springer Vienna		SpringerLink	10.1007/978-3-7091-6310-8	SN:10.1007/978-3-7091-6310-8	978-3-7091-6310-8				2000	No_License	3	3	0
Bioenergetics of the Cell: Quantitative Aspects	Springer US		SpringerLink	10.1007/978-1-4615-5653-4	SN:10.1007/978-1-4615-5653-4	978-1-4615-5653-4				1998	No_License	1	1	0
Biological Invasions in Marine Ecosystems	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-79236-9	SN:10.1007/978-3-540-79236-9	978-3-540-79236-9	0070-8356			2009	No_License	1	1	0
Biological Toxins and Bioterrorism	Springer Netherlands		SpringerLink	10.1007/978-94-007-5869-8	SN:10.1007/978-94-007-5869-8	978-94-007-5869-8	2542-761X	2542-7644		2015	No_License	1	1	0
Biomedical Visualisation	Springer International Publishing		SpringerLink	10.1007/978-3-030-19385-0	SN:10.1007/978-3-030-19385-0	978-3-030-19385-0	0065-2598	2214-8019		2019	No_License	1	1	0
Boar Reproduction	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-642-35049-8	SN:10.1007/978-3-642-35049-8	978-3-642-35049-8				2013	No_License	1	1	0
Bringing Schools into the 21st Century	Springer Netherlands		SpringerLink	10.1007/978-94-007-0268-4	SN:10.1007/978-94-007-0268-4	978-94-007-0268-4				2011	No_License	1	1	0
Business Opportunities and Risks in China	Springer International Publishing		SpringerLink	10.1007/978-3-031-31933-4	SN:10.1007/978-3-031-31933-4	978-3-031-31933-4	2192-8096	2192-810X		2023	No_License	1	1	0
Canada's Defence Procurement Woes	Springer International Publishing		SpringerLink	10.1007/978-3-031-46363-1	SN:10.1007/978-3-031-46363-1	978-3-031-46363-1	2523-7187	2523-7195		2024	No_License	4	4	0
Candida Species	Springer US		SpringerLink	10.1007/978-1-0716-2549-1	SN:10.1007/978-1-0716-2549-1	978-1-0716-2549-1	1064-3745	1940-6029		2022	No_License	1	1	0
Canine and Feline Skin Cytology	Springer International Publishing		SpringerLink	10.1007/978-3-319-41241-2	SN:10.1007/978-3-319-41241-2	978-3-319-41241-2				2017	No_License	1	1	0
Capillary Electrophoresis	Humana Press		SpringerLink	10.1007/978-1-59745-376-9	SN:10.1007/978-1-59745-376-9	978-1-59745-376-9	1064-3745	1940-6029		2008	No_License	2	2	0
Case Studies in Infrastructure Delivery	Springer US		SpringerLink	10.1007/978-1-4615-0923-3	SN:10.1007/978-1-4615-0923-3	978-1-4615-0923-3	1568-251X			2002	No_License	1	1	0
Cell Dynamics	Springer Vienna		SpringerLink	10.1007/978-3-7091-9008-1	SN:10.1007/978-3-7091-9008-1	978-3-7091-9008-1	0934-8727			1988	No_License	2	2	0
Cell Penetrating Peptides	Springer US		SpringerLink	10.1007/978-1-0716-1752-6	SN:10.1007/978-1-0716-1752-6	978-1-0716-1752-6	1064-3745	1940-6029		2022	No_License	1	1	0
Challenges and Opportunities in Agrometeorology	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-642-19360-6	SN:10.1007/978-3-642-19360-6	978-3-642-19360-6				2011	No_License	1	1	0
Chemical Architecture of the Nervous System	Springer US		SpringerLink	10.1007/978-1-4615-7154-4	SN:10.1007/978-1-4615-7154-4	978-1-4615-7154-4				1969	No_License	1	1	0
Chlamydomonas: Molecular Genetics and Physiology	Springer International Publishing		SpringerLink	10.1007/978-3-319-66365-4	SN:10.1007/978-3-319-66365-4	978-3-319-66365-4	1862-5576	1862-5584		2017	No_License	1	1	0
Climate Change Adaptation in North America	Springer International Publishing		SpringerLink	10.1007/978-3-319-53742-9	SN:10.1007/978-3-319-53742-9	978-3-319-53742-9	1610-2010	1610-2002		2017	No_License	5	5	0
Climate Change and Global Development	Springer International Publishing		SpringerLink	10.1007/978-3-030-02662-2	SN:10.1007/978-3-030-02662-2	978-3-030-02662-2	1431-1933	2197-7178		2019	No_License	2	2	0
Climate Change and the Humanities	Palgrave Macmillan UK		SpringerLink	10.1057/978-1-137-55124-5	SN:10.1057/978-1-137-55124-5	978-1-137-55124-5				2017	No_License	2	2	0
Climate Change in the Asia-Pacific Region	Springer International Publishing		SpringerLink	10.1007/978-3-319-14938-7	SN:10.1007/978-3-319-14938-7	978-3-319-14938-7	1610-2010	1610-2002		2015	No_License	2	2	0
CMBEBIH 2017	Springer Singapore		SpringerLink	10.1007/978-981-10-4166-2	SN:10.1007/978-981-10-4166-2	978-981-10-4166-2	1680-0737	1433-9277		2017	No_License	1	1	0
Compounds of Transition Metals	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-642-50293-4	SN:10.1007/978-3-642-50293-4	978-3-642-50293-4				1975	No_License	1	1	0
Contemporary Environmental and Mathematics Education Modelling Using New Geometric Approaches	Springer International Publishing		SpringerLink	10.1007/978-3-319-72523-9	SN:10.1007/978-3-319-72523-9	978-3-319-72523-9				2018	No_License	1	1	0
Contemporary Women’s Post-Apocalyptic Fiction	Palgrave Macmillan UK		SpringerLink	10.1057/978-1-137-48650-9	SN:10.1057/978-1-137-48650-9	978-1-137-48650-9	2523-8140	2523-8159		2020	No_License	2	2	0
Control of Breathing and Its Modeling Perspective	Springer US		SpringerLink	10.1007/978-1-4757-9847-0	SN:10.1007/978-1-4757-9847-0	978-1-4757-9847-0				1992	No_License	1	1	0
Crossroads in New Media, Identity and Law	Palgrave Macmillan UK		SpringerLink	10.1057/9781137491268	SN:10.1057/9781137491268	978-1-137-49126-8				2015	No_License	1	1	0
Cryopreservation and Freeze-Drying Protocols	Springer New York		SpringerLink	10.1007/978-1-4939-2193-5	SN:10.1007/978-1-4939-2193-5	978-1-4939-2193-5	1064-3745	1940-6029		2015	No_License	4	4	0
Cultural and Social Justice Counseling	Springer International Publishing		SpringerLink	10.1007/978-3-319-18057-1	SN:10.1007/978-3-319-18057-1	978-3-319-18057-1	1574-0455	2197-7984		2016	No_License	1	1	0
Current Trends in Wildlife Research	Springer International Publishing		SpringerLink	10.1007/978-3-319-27912-1	SN:10.1007/978-3-319-27912-1	978-3-319-27912-1	2366-8733	2366-8741		2016	No_License	1	1	0
Cytopathology	Springer International Publishing		SpringerLink	10.1007/978-3-319-33286-4	SN:10.1007/978-3-319-33286-4	978-3-319-33286-4	2366-6269	2366-6277		2017	No_License	1	1	0
Data Intelligence and Cognitive Informatics	Springer Singapore		SpringerLink	10.1007/978-981-15-8530-2	SN:10.1007/978-981-15-8530-2	978-981-15-8530-2	2524-7565	2524-7573		2021	No_License	4	4	0
Data Science in Agriculture and Natural Resource Management	Springer Singapore		SpringerLink	10.1007/978-981-16-5847-1	SN:10.1007/978-981-16-5847-1	978-981-16-5847-1	2197-6503	2197-6511		2022	No_License	1	1	0
Design and Electromagnetic Feature Analysis of AC Rotating Machines	Springer Singapore		SpringerLink	10.1007/978-981-13-0920-5	SN:10.1007/978-981-13-0920-5	978-981-13-0920-5	2191-8112	2191-8120		2019	No_License	2	2	0
Developing Global Leaders	Palgrave Macmillan US		SpringerLink	10.1007/978-1-137-51213-0	SN:10.1007/978-1-137-51213-0	978-1-137-51213-0				2012	No_License	1	1	0
Dictionary of Geotourism	Springer Singapore		SpringerLink	10.1007/978-981-13-2538-0	SN:10.1007/978-981-13-2538-0	978-981-13-2538-0				2020	No_License	2	2	0
Digital and Social Media Marketing	Springer International Publishing		SpringerLink	10.1007/978-3-030-24374-6	SN:10.1007/978-3-030-24374-6	978-3-030-24374-6	2522-5006	2522-5014		2020	No_License	1	1	0
Digital Phenotyping and Mobile Sensing	Springer International Publishing		SpringerLink	10.1007/978-3-030-31620-4	SN:10.1007/978-3-030-31620-4	978-3-030-31620-4	2196-6605	2196-6613		2019	No_License	1	1	0
Disruptive Technology in Banking and Finance	Springer International Publishing		SpringerLink	10.1007/978-3-030-81835-7	SN:10.1007/978-3-030-81835-7	978-3-030-81835-7	2662-5083	2662-5091		2021	No_License	1	1	0
Electroanalytical Methods	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-662-04757-6	SN:10.1007/978-3-662-04757-6	978-3-662-04757-6				2005	No_License	1	1	0
Encyclopedia of African Religions and Philosophy	Springer Netherlands		SpringerLink	10.1007/978-94-024-2068-5	SN:10.1007/978-94-024-2068-5	978-94-024-2068-5				2021	No_License	1	1	0
Encyclopedia of Animal Cognition and Behavior	Springer International Publishing		SpringerLink	10.1007/978-3-319-47829-6	SN:10.1007/978-3-319-47829-6	978-3-319-47829-6				2017	No_License	1	1	0
Encyclopedia of Animal Cognition and Behavior	Springer International Publishing		SpringerLink	10.1007/978-3-319-47829-6	SN:10.1007/978-3-319-47829-6	978-3-319-47829-6				2018	No_License	1	1	0
Encyclopedia of Behavioral Medicine	Springer New York		SpringerLink	10.1007/978-1-4419-1005-9	SN:10.1007/978-1-4419-1005-9	978-1-4419-1005-9				2013	No_License	5	5	0
Encyclopedia of Clinical Neuropsychology	Springer New York		SpringerLink	10.1007/978-0-387-79948-3	SN:10.1007/978-0-387-79948-3	978-0-387-79948-3				2011	No_License	2	2	0
Encyclopedia of Critical Psychology	Springer New York		SpringerLink	10.1007/978-1-4614-5583-7	SN:10.1007/978-1-4614-5583-7	978-1-4614-5583-7				2014	No_License	6	6	0
Encyclopedia of Evolutionary Psychological Science	Springer International Publishing		SpringerLink	10.1007/978-3-319-16999-6	SN:10.1007/978-3-319-16999-6	978-3-319-16999-6				2018	No_License	1	1	0
Encyclopedia of Evolutionary Psychological Science	Springer International Publishing		SpringerLink	10.1007/978-3-319-19650-3	SN:10.1007/978-3-319-19650-3	978-3-319-19650-3				2021	No_License	3	3	0
Encyclopedia of Genetics, Genomics, Proteomics and Informatics	Springer Netherlands		SpringerLink	10.1007/978-1-4020-6754-9	SN:10.1007/978-1-4020-6754-9	978-1-4020-6754-9				2008	No_License	1	1	0
Encyclopedia of Green Materials	Springer Nature Singapore		SpringerLink	10.1007/978-981-16-4921-9	SN:10.1007/978-981-16-4921-9	978-981-16-4921-9				2023	No_License	1	1	0
Encyclopedia of Membranes	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-662-44324-8	SN:10.1007/978-3-662-44324-8	978-3-662-44324-8				2016	No_License	1	1	0
Encyclopedia of Neuroscience	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-540-29678-2	SN:10.1007/978-3-540-29678-2	978-3-540-29678-2				2009	No_License	1	1	0
Encyclopedia of Parasitology	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-662-43978-4	SN:10.1007/978-3-662-43978-4	978-3-662-43978-4				2016	No_License	1	1	0
Encyclopedia of Personality and Individual Differences	Springer International Publishing		SpringerLink	10.1007/978-3-319-28099-8	SN:10.1007/978-3-319-28099-8	978-3-319-28099-8				2017	No_License	2	2	0
Encyclopedia of Personality and Individual Differences	Springer International Publishing		SpringerLink	10.1007/978-3-319-24612-3	SN:10.1007/978-3-319-24612-3	978-3-319-24612-3				2020	No_License	1	1	0
Encyclopedia of Petroleum Geoscience	Springer International Publishing		SpringerLink	10.1007/978-3-319-02330-4	SN:10.1007/978-3-319-02330-4	978-3-319-02330-4	1388-4360	1871-756X		2018	No_License	2	2	0
Encyclopedia of Quality of Life and Well-Being Research	Springer Netherlands		SpringerLink	10.1007/978-94-007-0753-5	SN:10.1007/978-94-007-0753-5	978-94-007-0753-5				2014	No_License	6	6	0
Encyclopedia of Sexual Psychology and Behavior	Springer International Publishing		SpringerLink	10.1007/978-3-031-08956-5	SN:10.1007/978-3-031-08956-5	978-3-031-08956-5				2023	No_License	1	1	0
Encyclopedia of Soil Science	Springer Netherlands		SpringerLink	10.1007/978-1-4020-3995-9	SN:10.1007/978-1-4020-3995-9	978-1-4020-3995-9	1388-4360	1871-756X		2008	No_License	2	2	0
Encyclopedia of Sustainability Science and Technology	Springer New York		SpringerLink	10.1007/978-1-4419-0851-3	SN:10.1007/978-1-4419-0851-3	978-1-4419-0851-3				2012	No_License	1	1	0
Encyclopedia of Systems Biology	Springer New York		SpringerLink	10.1007/978-1-4419-9863-7	SN:10.1007/978-1-4419-9863-7	978-1-4419-9863-7				2013	No_License	1	1	0
Encyclopedia of the History of Psychological Theories	Springer US		SpringerLink	10.1007/978-1-4419-0463-8	SN:10.1007/978-1-4419-0463-8	978-1-4419-0463-8				2012	No_License	2	2	0
Encyclopedia of the Sciences of Learning	Springer US		SpringerLink	10.1007/978-1-4419-1428-6	SN:10.1007/978-1-4419-1428-6	978-1-4419-1428-6				2012	No_License	2	2	0
Endocrinology of the Testis and Male Reproduction	Springer International Publishing		SpringerLink	10.1007/978-3-319-44441-3	SN:10.1007/978-3-319-44441-3	978-3-319-44441-3	2510-1927	2510-1935		2017	No_License	3	3	0
Engineering and Social Justice	Springer International Publishing		SpringerLink	10.1007/978-3-031-79940-2	SN:10.1007/978-3-031-79940-2	978-3-031-79940-2	1933-3633	1933-3641		2008	No_License	5	5	0
Essentials of Tissue Banking	Springer Netherlands		SpringerLink	10.1007/978-90-481-9142-0	SN:10.1007/978-90-481-9142-0	978-90-481-9142-0				2010	No_License	3	3	0
Ethics, Governance, and Policies in Artificial Intelligence	Springer International Publishing		SpringerLink	10.1007/978-3-030-81907-1	SN:10.1007/978-3-030-81907-1	978-3-030-81907-1	0921-8599	2542-8349		2021	No_License	1	1	0
Europe at the Dawn of the Millennium	Palgrave Macmillan UK		SpringerLink	10.1057/9780230377189	SN:10.1057/9780230377189	978-0-230-37718-9				1997	No_License	2	2	0
Extraterrestrial Altruism	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-642-37750-1	SN:10.1007/978-3-642-37750-1	978-3-642-37750-1	1612-3018			2014	No_License	1	1	0
Fascism	Macmillan Education UK		SpringerLink	10.1007/978-1-349-86161-3	SN:10.1007/978-1-349-86161-3	978-1-349-86161-3				1976	No_License	1	1	0
Flow Cytometry Protocols	Humana Press		SpringerLink	10.1007/978-1-61737-950-5	SN:10.1007/978-1-61737-950-5	978-1-61737-950-5	1064-3745	1940-6029		2011	No_License	1	1	0
Foucault in an Age of Terror	Palgrave Macmillan UK		SpringerLink	10.1057/9780230584334	SN:10.1057/9780230584334	978-0-230-58433-4				2008	No_License	3	3	0
Fructose, High Fructose Corn Syrup, Sucrose and Health	Springer New York		SpringerLink	10.1007/978-1-4899-8077-9	SN:10.1007/978-1-4899-8077-9	978-1-4899-8077-9				2014	No_License	2	2	0
Functional Biopolymers	Springer International Publishing		SpringerLink	10.1007/978-3-319-95990-0	SN:10.1007/978-3-319-95990-0	978-3-319-95990-0	2510-3458	2510-3466		2019	No_License	1	1	0
Fundamentals of Diophantine Geometry	Springer New York		SpringerLink	10.1007/978-1-4757-1810-2	SN:10.1007/978-1-4757-1810-2	978-1-4757-1810-2				1983	No_License	1	1	0
Fundamentals of Irrigation and On-farm Water Management: Volume 1	Springer New York		SpringerLink	10.1007/978-1-4419-6335-2	SN:10.1007/978-1-4419-6335-2	978-1-4419-6335-2				2010	No_License	6	6	0
Future Internet Technologies and Trends	Springer International Publishing		SpringerLink	10.1007/978-3-319-73712-6	SN:10.1007/978-3-319-73712-6	978-3-319-73712-6	1867-8211	1867-822X		2018	No_License	5	5	0
Gazes, Words, and Silences in Pragmatics	Springer International Publishing		SpringerLink	10.1007/978-3-031-42571-4	SN:10.1007/978-3-031-42571-4	978-3-031-42571-4	2214-3807	2214-3815		2023	No_License	1	1	0
Gems of Geometry	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-642-05092-3	SN:10.1007/978-3-642-05092-3	978-3-642-05092-3				2009	No_License	2	2	0
Gender Confirmation Surgery	Springer International Publishing		SpringerLink	10.1007/978-3-030-29093-1	SN:10.1007/978-3-030-29093-1	978-3-030-29093-1				2020	No_License	1	1	0
Genome-Wide Association Studies and Genomic Prediction	Humana Press		SpringerLink	10.1007/978-1-62703-447-0	SN:10.1007/978-1-62703-447-0	978-1-62703-447-0	1064-3745	1940-6029		2013	No_License	2	2	0
Geochemistry	Springer Netherlands		SpringerLink	10.1007/1-4020-4496-8	SN:10.1007/1-4020-4496-8	978-1-4020-4496-0	1388-4360	1871-756X		1998	No_License	1	1	0
Geomorphology	Springer Berlin Heidelberg		SpringerLink	10.1007/3-540-31060-6	SN:10.1007/3-540-31060-6	978-3-540-31060-0	1388-4360	1871-756X		1968	No_License	1	1	0
Governance & Climate Justice	Springer International Publishing		SpringerLink	10.1007/978-3-319-63281-0	SN:10.1007/978-3-319-63281-0	978-3-319-63281-0				2020	No_License	3	3	0
Green Chemistry and Chemical Engineering	Springer New York		SpringerLink	10.1007/978-1-4939-9060-3	SN:10.1007/978-1-4939-9060-3	978-1-4939-9060-3				2019	No_License	1	1	0
Groundwater Hydraulics	Springer Japan		SpringerLink	10.1007/978-4-431-53959-9	SN:10.1007/978-4-431-53959-9	978-4-431-53959-9				2000	No_License	1	1	0
Handbook of Consumer Nanoproducts	Springer Singapore		SpringerLink	10.1007/978-981-15-6453-6	SN:10.1007/978-981-15-6453-6	978-981-15-6453-6				2021	No_License	3	3	0
Handbook of Ecomaterials	Springer International Publishing		SpringerLink	10.1007/978-3-319-68255-6	SN:10.1007/978-3-319-68255-6	978-3-319-68255-6				2019	No_License	1	1	0
Handbook of Epidemiology	Springer New York		SpringerLink	10.1007/978-1-4614-6625-3	SN:10.1007/978-1-4614-6625-3	978-1-4614-6625-3				2023	No_License	1	1	0
Handbook of Genetics	Springer US		SpringerLink	10.1007/978-1-4613-4470-4	SN:10.1007/978-1-4613-4470-4	978-1-4613-4470-4				1975	No_License	2	2	0
Handbook of Identity Theory and Research	Springer New York		SpringerLink	10.1007/978-1-4419-7988-9	SN:10.1007/978-1-4419-7988-9	978-1-4419-7988-9				2011	No_License	2	2	0
Handbook of LGBT Communities, Crime, and Justice	Springer New York		SpringerLink	10.1007/978-1-4614-9188-0	SN:10.1007/978-1-4614-9188-0	978-1-4614-9188-0				2014	No_License	1	1	0
Handbook of Modern Item Response Theory	Springer New York		SpringerLink	10.1007/978-1-4757-2691-6	SN:10.1007/978-1-4757-2691-6	978-1-4757-2691-6				1997	No_License	1	1	0
Handbook of Regional Science	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-642-36203-3	SN:10.1007/978-3-642-36203-3	978-3-642-36203-3				2019	No_License	1	1	0
Handbook of Social Inclusion	Springer International Publishing		SpringerLink	10.1007/978-3-030-48277-0	SN:10.1007/978-3-030-48277-0	978-3-030-48277-0				2021	No_License	2	2	0
Handbook of Social Indicators and Quality of Life Research	Springer Netherlands		SpringerLink	10.1007/978-94-007-2421-1	SN:10.1007/978-94-007-2421-1	978-94-007-2421-1				2012	No_License	1	1	0
Handbook of the Sociology of Sexualities	Springer International Publishing		SpringerLink	10.1007/978-3-319-17341-2	SN:10.1007/978-3-319-17341-2	978-3-319-17341-2	1389-6903			2015	No_License	2	2	0
Handbuch Soziale Praktiken und Digitale Alltagswelten	Springer Fachmedien Wiesbaden		SpringerLink	10.1007/978-3-658-08460-8	SN:10.1007/978-3-658-08460-8	978-3-658-08460-8				2016	No_License	1	1	0
Hearing Loss in Congenital, Neonatal and Childhood Infections	Springer International Publishing		SpringerLink	10.1007/978-3-031-38495-0	SN:10.1007/978-3-031-38495-0	978-3-031-38495-0	2731-6742	2731-6750		2023	No_License	1	1	0
Horticultural Engineering Technology Fixed Equipment and Buildings	Macmillan Education UK		SpringerLink	10.1007/978-1-349-07099-2	SN:10.1007/978-1-349-07099-2	978-1-349-07099-2				1986	No_License	1	1	0
Human-Computer Interaction – INTERACT 2023	Springer Nature Switzerland		SpringerLink	10.1007/978-3-031-42293-5	SN:10.1007/978-3-031-42293-5	978-3-031-42293-5	0302-9743	1611-3349		2023	No_License	2	2	0
Impact of Mineral Impurities in Solid Fuel Combustion	Springer US		SpringerLink	10.1007/b118076	SN:10.1007/b118076	978-0-306-46920-6				2002	No_License	1	1	0
Integrated Management of Diseases Caused by Fungi, Phytoplasma and Bacteria	Springer Netherlands		SpringerLink	10.1007/978-1-4020-8571-0	SN:10.1007/978-1-4020-8571-0	978-1-4020-8571-0				2008	No_License	1	1	0
Integrating Agriculture, Conservation and Ecotourism: Examples from the Field	Springer Netherlands		SpringerLink	10.1007/978-94-007-1309-3	SN:10.1007/978-94-007-1309-3	978-94-007-1309-3	2211-2405	2211-2413		2011	No_License	2	2	0
Intelligent and Fuzzy Systems	Springer International Publishing		SpringerLink	10.1007/978-3-031-09176-6	SN:10.1007/978-3-031-09176-6	978-3-031-09176-6	2367-3370	2367-3389		2022	No_License	4	4	0
Intelligent Astrophysics	Springer International Publishing		SpringerLink	10.1007/978-3-030-65867-0	SN:10.1007/978-3-030-65867-0	978-3-030-65867-0	2194-7287	2194-7295		2021	No_License	2	2	0
Intelligent Communication, Control and Devices	Springer Singapore		SpringerLink	10.1007/978-981-13-8618-3	SN:10.1007/978-981-13-8618-3	978-981-13-8618-3	2194-5357	2194-5365		2020	No_License	1	1	0
Intelligent Systems and Networks	Springer Nature Singapore		SpringerLink	10.1007/978-981-99-4725-6	SN:10.1007/978-981-99-4725-6	978-981-99-4725-6	2367-3370	2367-3389		2023	No_License	1	1	0
Intensive One-Session Treatment of Specific Phobias	Springer New York		SpringerLink	10.1007/978-1-4614-3253-1	SN:10.1007/978-1-4614-3253-1	978-1-4614-3253-1	2192-922X	2192-9238		2012	No_License	9	9	0
International Joint Conference SOCO’16-CISIS’16-ICEUTE’16	Springer International Publishing		SpringerLink	10.1007/978-3-319-47364-2	SN:10.1007/978-3-319-47364-2	978-3-319-47364-2	2194-5357	2194-5365		2017	No_License	1	1	0
International Volunteer Tourism	Palgrave Macmillan US		SpringerLink	10.1057/9781137369352	SN:10.1057/9781137369352	978-1-137-36935-2				2013	No_License	2	2	0
Interrogating Models of Diversity within a Multicultural Environment	Springer International Publishing		SpringerLink	10.1007/978-3-030-03913-4	SN:10.1007/978-3-030-03913-4	978-3-030-03913-4				2019	No_License	1	1	0
Introduction to Transport Phenomena Modeling	Springer International Publishing		SpringerLink	10.1007/978-3-319-66822-2	SN:10.1007/978-3-319-66822-2	978-3-319-66822-2				2018	No_License	1	1	0
