Report_Name	Multimedia Item Requests
Report_ID	IR_M1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	
Metric_Types	Total_Item_Requests
Report_Filters	Data_Type=Multimedia; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-02T14:22:26Z
Created_By	collections@upei.ca

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Silent Spring	Columbia Broadcasting System		video.alexanderstreet.com				Total_Item_Requests	2	2	0
Silly	Monarda Arts		video.alexanderstreet.com				Total_Item_Requests	1	1	0
Streaming Services are Hiking Their Prices	Bloomberg L. P.		video.alexanderstreet.com				Total_Item_Requests	1	1	0
The Age of Reason	Berkeley Media		video.alexanderstreet.com				Total_Item_Requests	2	0	2
The Business Cycle	Dallas County Community College District		video.alexanderstreet.com				Total_Item_Requests	85	85	0
The Business Cycle: Part 1	Dallas County Community College District		video.alexanderstreet.com				Total_Item_Requests	2	2	0
The Business Cycle: Part 2	Dallas County Community College District		video.alexanderstreet.com				Total_Item_Requests	1	1	0
The Business Cycle: Part 3	Dallas County Community College District		video.alexanderstreet.com				Total_Item_Requests	1	1	0
The Eye of the Storm with Jane Elliott	Admire Productions		video.alexanderstreet.com				Total_Item_Requests	2	2	0
The First Ten Minutes	Medcom		video.alexanderstreet.com				Total_Item_Requests	1	1	0
The Great Depression	Dallas County Community College District		video.alexanderstreet.com				Total_Item_Requests	4	0	4
The Merchant of Venice	Royal Shakespeare Company		video.alexanderstreet.com				Total_Item_Requests	4	4	0
The Perfect Mother\, the Absent Wife: Tapping the Client's Natural Resources	Zeig, Tucker & Theisen, Inc.		video.alexanderstreet.com				Total_Item_Requests	5	0	5
The Playboy Of The Western World	Music Video Distributors		video.alexanderstreet.com				Total_Item_Requests	1	1	0
The Power Of A Multinational: Monsanto	TV Choice		video.alexanderstreet.com				Total_Item_Requests	1	1	0
The Reproductive System	Medcom		video.alexanderstreet.com				Total_Item_Requests	2	2	0
The Taming of the Shrew	Stratford Festival		video.alexanderstreet.com				Total_Item_Requests	3	2	1
The Tempest	Royal Shakespeare Company		video.alexanderstreet.com				Total_Item_Requests	1	1	0
The Union of Humanity and Technique	Milton H. Erickson Foundation		video.alexanderstreet.com				Total_Item_Requests	1	0	1
Therapeutic Three Generation Family Reunion	Milton H. Erickson Foundation		video.alexanderstreet.com				Total_Item_Requests	2	0	2
Topical\, Suppository\, and Inhalant Medications	Medcom		video.alexanderstreet.com				Total_Item_Requests	2	0	2
Trauma\, Spirituality and Recovery	Milton H. Erickson Foundation		video.alexanderstreet.com				Total_Item_Requests	2	0	2
US Government 20-1	Dallas County Community College District		video.alexanderstreet.com				Total_Item_Requests	1	0	1
War In Ukraine: Is A Peace Deal Possible?	The Economist		video.alexanderstreet.com				Total_Item_Requests	1	0	1
WaterWays	Institute of Cultural Anthropology and Development Sociology, Universiteit Leiden		video.alexanderstreet.com				Total_Item_Requests	1	1	0
What are the Sources and Health Effects of Air Pollution?	Latest Thinking		video.alexanderstreet.com				Total_Item_Requests	1	1	0
