Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	Silverchair:19464
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-01-31
Created	2024-02-23T00:00:00Z
Created_By	Silverchair

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024
Journal of Raptor Research	Allen Press		Allen Press		Silverchair:1000186		0892-1016	2162-4569		Journal	Article	2017	Controlled	Regular	Unique_Item_Investigations	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	1996	Controlled	Regular	Total_Item_Investigations	4	4
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	1996	Controlled	Regular	Total_Item_Requests	4	4
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	1996	Controlled	Regular	Unique_Item_Investigations	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	1996	Controlled	Regular	Unique_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	1998	Controlled	Regular	Unique_Item_Investigations	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	1998	Controlled	Regular	Unique_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	1998	Controlled	Regular	Total_Item_Investigations	5	5
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	1998	Controlled	Regular	Total_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	1999	Controlled	Regular	Unique_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	1999	Controlled	Regular	Unique_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	1999	Controlled	Regular	Total_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	1999	Controlled	Regular	Total_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2001	Controlled	Regular	Total_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2001	Controlled	Regular	Total_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2001	Controlled	Regular	Unique_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2001	Controlled	Regular	Unique_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2002	Controlled	Regular	Total_Item_Investigations	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2002	Controlled	Regular	Total_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2002	Controlled	Regular	Unique_Item_Investigations	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2002	Controlled	Regular	Unique_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2003	Controlled	Regular	Unique_Item_Investigations	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2003	Controlled	Regular	Unique_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2003	Controlled	Regular	Total_Item_Requests	4	4
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2003	Controlled	Regular	Total_Item_Investigations	4	4
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2005	Controlled	Regular	Unique_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2005	Controlled	Regular	Unique_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2005	Controlled	Regular	Total_Item_Investigations	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2005	Controlled	Regular	Total_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2006	Controlled	Regular	Total_Item_Requests	7	7
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2006	Controlled	Regular	Total_Item_Investigations	7	7
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2006	Controlled	Regular	Unique_Item_Investigations	4	4
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2006	Controlled	Regular	Unique_Item_Requests	4	4
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2008	Controlled	Regular	Unique_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2008	Controlled	Regular	Unique_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2008	Controlled	Regular	Total_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2008	Controlled	Regular	Total_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2010	Controlled	Regular	Unique_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2010	Controlled	Regular	Total_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2010	Controlled	Regular	Total_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2010	Controlled	Regular	Unique_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2011	Controlled	Regular	Total_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2011	Controlled	Regular	Total_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2011	Controlled	Regular	Unique_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2011	Controlled	Regular	Unique_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2012	Controlled	Regular	Unique_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2012	Controlled	Regular	Total_Item_Requests	4	4
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2012	Controlled	Regular	Unique_Item_Investigations	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2012	Controlled	Regular	Total_Item_Investigations	4	4
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2014	Controlled	Regular	Total_Item_Investigations	5	5
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2014	Controlled	Regular	Total_Item_Requests	5	5
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2014	Controlled	Regular	Unique_Item_Requests	4	4
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2014	Controlled	Regular	Unique_Item_Investigations	4	4
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2015	Controlled	Regular	Total_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2015	Controlled	Regular	Total_Item_Investigations	4	4
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2015	Controlled	Regular	Unique_Item_Investigations	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2015	Controlled	Regular	Unique_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2016	Controlled	Regular	Total_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2016	Controlled	Regular	Unique_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2016	Controlled	Regular	Unique_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2016	Controlled	Regular	Total_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2017	Controlled	Regular	Unique_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2017	Controlled	Regular	Total_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2017	Controlled	Regular	Total_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2017	Controlled	Regular	Unique_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2022	Controlled	Regular	Total_Item_Investigations	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2022	Controlled	Regular	Total_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2022	Controlled	Regular	Unique_Item_Investigations	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2022	Controlled	Regular	Unique_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2023	Controlled	Regular	Total_Item_Requests	3	3
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2023	Controlled	Regular	Total_Item_Investigations	3	3
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2023	Controlled	Regular	Unique_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2024	Controlled	Regular	Unique_Item_Investigations	10	10
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2024	Controlled	Regular	Total_Item_Investigations	10	10
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2024	Controlled	Regular	Total_Item_Requests	10	10
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033		0587-2871	1547-3317		Journal	Article	2024	Controlled	Regular	Unique_Item_Requests	10	10
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	1986	OA_Gold	Regular	Total_Item_Investigations	2	2
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	1986	OA_Gold	Regular	Unique_Item_Investigations	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	1995	OA_Gold	Regular	Total_Item_Investigations	2	2
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	1995	OA_Gold	Regular	Unique_Item_Investigations	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	1995	OA_Gold	Regular	Total_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	1995	OA_Gold	Regular	Unique_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2008	OA_Gold	Regular	Total_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2008	OA_Gold	Regular	Total_Item_Investigations	3	3
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2008	OA_Gold	Regular	Unique_Item_Investigations	2	2
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2008	OA_Gold	Regular	Unique_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2011	OA_Gold	Regular	Unique_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2011	OA_Gold	Regular	Unique_Item_Investigations	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2011	OA_Gold	Regular	Total_Item_Investigations	2	2
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2011	OA_Gold	Regular	Total_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2014	OA_Gold	Regular	Total_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2014	OA_Gold	Regular	Total_Item_Investigations	2	2
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2014	OA_Gold	Regular	Unique_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2014	OA_Gold	Regular	Unique_Item_Investigations	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2015	OA_Gold	Regular	Total_Item_Investigations	2	2
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2015	OA_Gold	Regular	Total_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2015	OA_Gold	Regular	Unique_Item_Investigations	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2015	OA_Gold	Regular	Unique_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2018	OA_Gold	Regular	Unique_Item_Investigations	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2018	OA_Gold	Regular	Unique_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2018	OA_Gold	Regular	Total_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2018	OA_Gold	Regular	Total_Item_Investigations	2	2
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2019	OA_Gold	Regular	Total_Item_Investigations	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2019	OA_Gold	Regular	Unique_Item_Investigations	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2019	OA_Gold	Regular	Total_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2019	OA_Gold	Regular	Unique_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2021	OA_Gold	Regular	Total_Item_Investigations	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2021	OA_Gold	Regular	Unique_Item_Investigations	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2021	OA_Gold	Regular	Total_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2021	OA_Gold	Regular	Unique_Item_Requests	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2024	Controlled	Regular	No_License	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2024	Controlled	Regular	Total_Item_Investigations	3	3
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2024	Controlled	Regular	Unique_Item_Investigations	1	1
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2024	Controlled	Regular	Total_Item_Requests	2	2
Journal of Wildlife Diseases	Allen Press		Allen Press		Silverchair:1000078		0090-3558	1943-3700		Journal	Article	2024	Controlled	Regular	Unique_Item_Requests	1	1
