Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	aaas:20351555
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-01-31; Begin_Date=2024-01-01
Created	2024-02-23T05:29:10Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024
Antimalarial pantothenamide metabolites target acetyl–coenzyme A biosynthesis in Plasmodium falciparum	American Association for the Advancement of Science		aaas	10.1126/scitranslmed.aas9917						Total_Item_Requests	2	2
Aquatic animal telemetry: A panoramic window into the underwater world	American Association for the Advancement of Science		aaas	10.1126/science.1255642						Unique_Item_Investigations	1	1
Aquatic animal telemetry: A panoramic window into the underwater world	American Association for the Advancement of Science		aaas	10.1126/science.1255642						Unique_Item_Requests	1	1
Aquatic animal telemetry: A panoramic window into the underwater world	American Association for the Advancement of Science		aaas	10.1126/science.1255642						Total_Item_Investigations	2	2
Aquatic animal telemetry: A panoramic window into the underwater world	American Association for the Advancement of Science		aaas	10.1126/science.1255642						Total_Item_Requests	2	2
Are hormones a “female problem” for animal research?	American Association for the Advancement of Science		aaas	10.1126/science.aaw7570						Unique_Item_Investigations	1	1
Are hormones a “female problem” for animal research?	American Association for the Advancement of Science		aaas	10.1126/science.aaw7570						Unique_Item_Requests	1	1
Are hormones a “female problem” for animal research?	American Association for the Advancement of Science		aaas	10.1126/science.aaw7570						Total_Item_Investigations	2	2
Are hormones a “female problem” for animal research?	American Association for the Advancement of Science		aaas	10.1126/science.aaw7570						Total_Item_Requests	2	2
Arrestin-dependent nuclear export of phosphodiesterase 4D promotes GPCR-induced nuclear cAMP signaling required for learning and memory	American Association for the Advancement of Science		aaas	10.1126/scisignal.ade3380						Unique_Item_Investigations	1	1
Arrestin-dependent nuclear export of phosphodiesterase 4D promotes GPCR-induced nuclear cAMP signaling required for learning and memory	American Association for the Advancement of Science		aaas	10.1126/scisignal.ade3380						Unique_Item_Requests	1	1
Arrestin-dependent nuclear export of phosphodiesterase 4D promotes GPCR-induced nuclear cAMP signaling required for learning and memory	American Association for the Advancement of Science		aaas	10.1126/scisignal.ade3380						Total_Item_Investigations	1	1
Arrestin-dependent nuclear export of phosphodiesterase 4D promotes GPCR-induced nuclear cAMP signaling required for learning and memory	American Association for the Advancement of Science		aaas	10.1126/scisignal.ade3380						Total_Item_Requests	1	1
Autoregulatory control of mitochondrial glutathione homeostasis	American Association for the Advancement of Science		aaas	10.1126/science.adf4154						Unique_Item_Investigations	2	2
Autoregulatory control of mitochondrial glutathione homeostasis	American Association for the Advancement of Science		aaas	10.1126/science.adf4154						Unique_Item_Requests	2	2
Autoregulatory control of mitochondrial glutathione homeostasis	American Association for the Advancement of Science		aaas	10.1126/science.adf4154						Total_Item_Investigations	2	2
Autoregulatory control of mitochondrial glutathione homeostasis	American Association for the Advancement of Science		aaas	10.1126/science.adf4154						Total_Item_Requests	2	2
Bacteria stitch exotic building blocks into novel proteins	American Association for the Advancement of Science		aaas	10.1126/science.z1y6y48						Unique_Item_Investigations	1	1
Bacteria stitch exotic building blocks into novel proteins	American Association for the Advancement of Science		aaas	10.1126/science.z1y6y48						Unique_Item_Requests	1	1
Bacteria stitch exotic building blocks into novel proteins	American Association for the Advancement of Science		aaas	10.1126/science.z1y6y48						Total_Item_Investigations	1	1
Bacteria stitch exotic building blocks into novel proteins	American Association for the Advancement of Science		aaas	10.1126/science.z1y6y48						Total_Item_Requests	1	1
Behavioral Economics and the Retirement Savings Crisis	American Association for the Advancement of Science		aaas	10.1126/science.1231320						Unique_Item_Investigations	1	1
Behavioral Economics and the Retirement Savings Crisis	American Association for the Advancement of Science		aaas	10.1126/science.1231320						Unique_Item_Requests	1	1
Behavioral Economics and the Retirement Savings Crisis	American Association for the Advancement of Science		aaas	10.1126/science.1231320						Total_Item_Investigations	1	1
Behavioral Economics and the Retirement Savings Crisis	American Association for the Advancement of Science		aaas	10.1126/science.1231320						Total_Item_Requests	1	1
Black community members, scientists object to plan to bury skulls from Philadelphia museum	American Association for the Advancement of Science		aaas	10.1126/science.z3qyeke						Unique_Item_Investigations	1	1
Black community members, scientists object to plan to bury skulls from Philadelphia museum	American Association for the Advancement of Science		aaas	10.1126/science.z3qyeke						Unique_Item_Requests	1	1
Black community members, scientists object to plan to bury skulls from Philadelphia museum	American Association for the Advancement of Science		aaas	10.1126/science.z3qyeke						Total_Item_Investigations	1	1
Black community members, scientists object to plan to bury skulls from Philadelphia museum	American Association for the Advancement of Science		aaas	10.1126/science.z3qyeke						Total_Item_Requests	1	1
Boom-bust cycles in gray whales associated with dynamic and changing Arctic conditions	American Association for the Advancement of Science		aaas	10.1126/science.adi1847						Unique_Item_Investigations	2	2
Boom-bust cycles in gray whales associated with dynamic and changing Arctic conditions	American Association for the Advancement of Science		aaas	10.1126/science.adi1847						Unique_Item_Requests	2	2
Boom-bust cycles in gray whales associated with dynamic and changing Arctic conditions	American Association for the Advancement of Science		aaas	10.1126/science.adi1847						Total_Item_Investigations	2	2
Boom-bust cycles in gray whales associated with dynamic and changing Arctic conditions	American Association for the Advancement of Science		aaas	10.1126/science.adi1847						Total_Item_Requests	2	2
Caloric Restriction Delays Disease Onset and Mortality in Rhesus Monkeys	American Association for the Advancement of Science		aaas	10.1126/science.1173635						Unique_Item_Investigations	1	1
Caloric Restriction Delays Disease Onset and Mortality in Rhesus Monkeys	American Association for the Advancement of Science		aaas	10.1126/science.1173635						Unique_Item_Requests	1	1
Caloric Restriction Delays Disease Onset and Mortality in Rhesus Monkeys	American Association for the Advancement of Science		aaas	10.1126/science.1173635						Total_Item_Investigations	1	1
Caloric Restriction Delays Disease Onset and Mortality in Rhesus Monkeys	American Association for the Advancement of Science		aaas	10.1126/science.1173635						Total_Item_Requests	1	1
Can anonymous faculty searches boost diversity?	American Association for the Advancement of Science		aaas	10.1126/science.caredit.abl7645						Unique_Item_Investigations	1	1
Can anonymous faculty searches boost diversity?	American Association for the Advancement of Science		aaas	10.1126/science.caredit.abl7645						Unique_Item_Requests	1	1
Can anonymous faculty searches boost diversity?	American Association for the Advancement of Science		aaas	10.1126/science.caredit.abl7645						Total_Item_Investigations	1	1
Can anonymous faculty searches boost diversity?	American Association for the Advancement of Science		aaas	10.1126/science.caredit.abl7645						Total_Item_Requests	1	1
Causes of the Cambrian Explosion	American Association for the Advancement of Science		aaas	10.1126/science.1239450						Unique_Item_Investigations	1	1
Causes of the Cambrian Explosion	American Association for the Advancement of Science		aaas	10.1126/science.1239450						Unique_Item_Requests	1	1
Causes of the Cambrian Explosion	American Association for the Advancement of Science		aaas	10.1126/science.1239450						Total_Item_Investigations	1	1
Causes of the Cambrian Explosion	American Association for the Advancement of Science		aaas	10.1126/science.1239450						Total_Item_Requests	1	1
Community-wide genome sequencing reveals 30 years of Darwin’s finch evolution	American Association for the Advancement of Science		aaas	10.1126/science.adf6218						Unique_Item_Investigations	1	1
Community-wide genome sequencing reveals 30 years of Darwin’s finch evolution	American Association for the Advancement of Science		aaas	10.1126/science.adf6218						Unique_Item_Requests	1	1
Community-wide genome sequencing reveals 30 years of Darwin’s finch evolution	American Association for the Advancement of Science		aaas	10.1126/science.adf6218						Total_Item_Investigations	2	2
Community-wide genome sequencing reveals 30 years of Darwin’s finch evolution	American Association for the Advancement of Science		aaas	10.1126/science.adf6218						Total_Item_Requests	2	2
Complementary DNA Coding Click Beetle Luciferases Can Elicit Bioluminescence of Different Colors	American Association for the Advancement of Science		aaas	10.1126/science.2655091						Unique_Item_Investigations	1	1
Complementary DNA Coding Click Beetle Luciferases Can Elicit Bioluminescence of Different Colors	American Association for the Advancement of Science		aaas	10.1126/science.2655091						Total_Item_Investigations	1	1
Complex Dental Structure and Wear Biomechanics in Hadrosaurid Dinosaurs	American Association for the Advancement of Science		aaas	10.1126/science.1224495						Unique_Item_Investigations	1	1
Complex Dental Structure and Wear Biomechanics in Hadrosaurid Dinosaurs	American Association for the Advancement of Science		aaas	10.1126/science.1224495						Unique_Item_Requests	1	1
Complex Dental Structure and Wear Biomechanics in Hadrosaurid Dinosaurs	American Association for the Advancement of Science		aaas	10.1126/science.1224495						Total_Item_Investigations	1	1
Complex Dental Structure and Wear Biomechanics in Hadrosaurid Dinosaurs	American Association for the Advancement of Science		aaas	10.1126/science.1224495						Total_Item_Requests	1	1
Dissecting the evolutionary role of the Hox gene proboscipedia in Drosophila mouthpart diversification by full locus replacement	American Association for the Advancement of Science		aaas	10.1126/sciadv.abk1003						Unique_Item_Investigations	1	1
Dissecting the evolutionary role of the Hox gene proboscipedia in Drosophila mouthpart diversification by full locus replacement	American Association for the Advancement of Science		aaas	10.1126/sciadv.abk1003						Unique_Item_Requests	1	1
Dissecting the evolutionary role of the Hox gene proboscipedia in Drosophila mouthpart diversification by full locus replacement	American Association for the Advancement of Science		aaas	10.1126/sciadv.abk1003						Total_Item_Investigations	1	1
Dissecting the evolutionary role of the Hox gene proboscipedia in Drosophila mouthpart diversification by full locus replacement	American Association for the Advancement of Science		aaas	10.1126/sciadv.abk1003						Total_Item_Requests	1	1
Echolocation and Pursuit of Prey by Bats	American Association for the Advancement of Science		aaas	10.1126/science.758674						Unique_Item_Investigations	1	1
Echolocation and Pursuit of Prey by Bats	American Association for the Advancement of Science		aaas	10.1126/science.758674						Total_Item_Investigations	1	1
Economic Importance of Bats in Agriculture	American Association for the Advancement of Science		aaas	10.1126/science.1201366						Unique_Item_Investigations	1	1
Economic Importance of Bats in Agriculture	American Association for the Advancement of Science		aaas	10.1126/science.1201366						Unique_Item_Requests	1	1
Economic Importance of Bats in Agriculture	American Association for the Advancement of Science		aaas	10.1126/science.1201366						Total_Item_Investigations	2	2
Economic Importance of Bats in Agriculture	American Association for the Advancement of Science		aaas	10.1126/science.1201366						Total_Item_Requests	2	2
Emissions and energy impacts of the Inflation Reduction Act	American Association for the Advancement of Science		aaas	10.1126/science.adg3781						Unique_Item_Investigations	3	3
Emissions and energy impacts of the Inflation Reduction Act	American Association for the Advancement of Science		aaas	10.1126/science.adg3781						Unique_Item_Requests	3	3
Emissions and energy impacts of the Inflation Reduction Act	American Association for the Advancement of Science		aaas	10.1126/science.adg3781						Total_Item_Investigations	5	5
Emissions and energy impacts of the Inflation Reduction Act	American Association for the Advancement of Science		aaas	10.1126/science.adg3781						Total_Item_Requests	5	5
Engineering the Emergence of Stem Cell Therapeutics	American Association for the Advancement of Science		aaas	10.1126/scitranslmed.3007609						Unique_Item_Investigations	2	2
Engineering the Emergence of Stem Cell Therapeutics	American Association for the Advancement of Science		aaas	10.1126/scitranslmed.3007609						Unique_Item_Requests	2	2
Engineering the Emergence of Stem Cell Therapeutics	American Association for the Advancement of Science		aaas	10.1126/scitranslmed.3007609						Total_Item_Investigations	2	2
Engineering the Emergence of Stem Cell Therapeutics	American Association for the Advancement of Science		aaas	10.1126/scitranslmed.3007609						Total_Item_Requests	2	2
Erratum for the Research Article “The SARS-CoV-2 monoclonal antibody combination, AZD7442, is protective in nonhuman primates and has an extended half-life in humans” by Y.-M. Loo et al.	American Association for the Advancement of Science		aaas	10.1126/scitranslmed.abg8900						Unique_Item_Investigations	1	1
Erratum for the Research Article “The SARS-CoV-2 monoclonal antibody combination, AZD7442, is protective in nonhuman primates and has an extended half-life in humans” by Y.-M. Loo et al.	American Association for the Advancement of Science		aaas	10.1126/scitranslmed.abg8900						Unique_Item_Requests	1	1
Erratum for the Research Article “The SARS-CoV-2 monoclonal antibody combination, AZD7442, is protective in nonhuman primates and has an extended half-life in humans” by Y.-M. Loo et al.	American Association for the Advancement of Science		aaas	10.1126/scitranslmed.abg8900						Total_Item_Investigations	1	1
Erratum for the Research Article “The SARS-CoV-2 monoclonal antibody combination, AZD7442, is protective in nonhuman primates and has an extended half-life in humans” by Y.-M. Loo et al.	American Association for the Advancement of Science		aaas	10.1126/scitranslmed.abg8900						Total_Item_Requests	1	1
Errors found in dozens of papers by top scientists at Dana-Farber Cancer Institute	American Association for the Advancement of Science		aaas	10.1126/science.z0oibzm						Unique_Item_Investigations	2	2
Errors found in dozens of papers by top scientists at Dana-Farber Cancer Institute	American Association for the Advancement of Science		aaas	10.1126/science.z0oibzm						Unique_Item_Requests	2	2
Errors found in dozens of papers by top scientists at Dana-Farber Cancer Institute	American Association for the Advancement of Science		aaas	10.1126/science.z0oibzm						Total_Item_Investigations	2	2
Errors found in dozens of papers by top scientists at Dana-Farber Cancer Institute	American Association for the Advancement of Science		aaas	10.1126/science.z0oibzm						Total_Item_Requests	2	2
Evolutionary paths to new phenotypes	American Association for the Advancement of Science		aaas	10.1126/science.adm9239						Unique_Item_Investigations	1	1
Evolutionary paths to new phenotypes	American Association for the Advancement of Science		aaas	10.1126/science.adm9239						Unique_Item_Requests	1	1
Evolutionary paths to new phenotypes	American Association for the Advancement of Science		aaas	10.1126/science.adm9239						Total_Item_Investigations	1	1
Evolutionary paths to new phenotypes	American Association for the Advancement of Science		aaas	10.1126/science.adm9239						Total_Item_Requests	1	1
First SARS-CoV-2 genome was deposited in U.S. database earlier than previously known	American Association for the Advancement of Science		aaas	10.1126/science.zu1jvr6						Unique_Item_Investigations	1	1
First SARS-CoV-2 genome was deposited in U.S. database earlier than previously known	American Association for the Advancement of Science		aaas	10.1126/science.zu1jvr6						Unique_Item_Requests	1	1
First SARS-CoV-2 genome was deposited in U.S. database earlier than previously known	American Association for the Advancement of Science		aaas	10.1126/science.zu1jvr6						Total_Item_Investigations	1	1
First SARS-CoV-2 genome was deposited in U.S. database earlier than previously known	American Association for the Advancement of Science		aaas	10.1126/science.zu1jvr6						Total_Item_Requests	1	1
Fitness Correlates of Heritable Variation in Antibody Responsiveness in a Wild Mammal	American Association for the Advancement of Science		aaas	10.1126/science.1194878						Unique_Item_Investigations	1	1
Fitness Correlates of Heritable Variation in Antibody Responsiveness in a Wild Mammal	American Association for the Advancement of Science		aaas	10.1126/science.1194878						Unique_Item_Requests	1	1
Fitness Correlates of Heritable Variation in Antibody Responsiveness in a Wild Mammal	American Association for the Advancement of Science		aaas	10.1126/science.1194878						Total_Item_Investigations	2	2
Fitness Correlates of Heritable Variation in Antibody Responsiveness in a Wild Mammal	American Association for the Advancement of Science		aaas	10.1126/science.1194878						Total_Item_Requests	2	2
From Disorder to Order in Marching Locusts	American Association for the Advancement of Science		aaas	10.1126/science.1125142						Unique_Item_Investigations	1	1
From Disorder to Order in Marching Locusts	American Association for the Advancement of Science		aaas	10.1126/science.1125142						Unique_Item_Requests	1	1
From Disorder to Order in Marching Locusts	American Association for the Advancement of Science		aaas	10.1126/science.1125142						Total_Item_Investigations	1	1
From Disorder to Order in Marching Locusts	American Association for the Advancement of Science		aaas	10.1126/science.1125142						Total_Item_Requests	1	1
Frontiers in molecular p-block chemistry: From structure to reactivity	American Association for the Advancement of Science		aaas	10.1126/science.aau5105						Unique_Item_Investigations	1	1
Frontiers in molecular p-block chemistry: From structure to reactivity	American Association for the Advancement of Science		aaas	10.1126/science.aau5105						Unique_Item_Requests	1	1
Frontiers in molecular p-block chemistry: From structure to reactivity	American Association for the Advancement of Science		aaas	10.1126/science.aau5105						Total_Item_Investigations	1	1
Frontiers in molecular p-block chemistry: From structure to reactivity	American Association for the Advancement of Science		aaas	10.1126/science.aau5105						Total_Item_Requests	1	1
Genetic Effects of Captive Breeding Cause a Rapid, Cumulative Fitness Decline in the Wild	American Association for the Advancement of Science		aaas	10.1126/science.1145621						Unique_Item_Investigations	1	1
Genetic Effects of Captive Breeding Cause a Rapid, Cumulative Fitness Decline in the Wild	American Association for the Advancement of Science		aaas	10.1126/science.1145621						Unique_Item_Requests	1	1
Genetic Effects of Captive Breeding Cause a Rapid, Cumulative Fitness Decline in the Wild	American Association for the Advancement of Science		aaas	10.1126/science.1145621						Total_Item_Investigations	1	1
Genetic Effects of Captive Breeding Cause a Rapid, Cumulative Fitness Decline in the Wild	American Association for the Advancement of Science		aaas	10.1126/science.1145621						Total_Item_Requests	1	1
Genetic variants underlying human bisexual behavior are reproductively advantageous	American Association for the Advancement of Science		aaas	10.1126/sciadv.adj6958						Unique_Item_Investigations	6	6
Genetic variants underlying human bisexual behavior are reproductively advantageous	American Association for the Advancement of Science		aaas	10.1126/sciadv.adj6958						Unique_Item_Requests	6	6
Genetic variants underlying human bisexual behavior are reproductively advantageous	American Association for the Advancement of Science		aaas	10.1126/sciadv.adj6958						Total_Item_Investigations	6	6
Genetic variants underlying human bisexual behavior are reproductively advantageous	American Association for the Advancement of Science		aaas	10.1126/sciadv.adj6958						Total_Item_Requests	6	6
Grasping Limb Patterning	American Association for the Advancement of Science		aaas	10.1126/science.1162474						Unique_Item_Investigations	1	1
Grasping Limb Patterning	American Association for the Advancement of Science		aaas	10.1126/science.1162474						Unique_Item_Requests	1	1
Grasping Limb Patterning	American Association for the Advancement of Science		aaas	10.1126/science.1162474						Total_Item_Investigations	3	3
Grasping Limb Patterning	American Association for the Advancement of Science		aaas	10.1126/science.1162474						Total_Item_Requests	3	3
Hippocampal Neurogenesis Regulates Forgetting During Adulthood and Infancy	American Association for the Advancement of Science		aaas	10.1126/science.1248903						Unique_Item_Investigations	1	1
Hippocampal Neurogenesis Regulates Forgetting During Adulthood and Infancy	American Association for the Advancement of Science		aaas	10.1126/science.1248903						Unique_Item_Requests	1	1
Hippocampal Neurogenesis Regulates Forgetting During Adulthood and Infancy	American Association for the Advancement of Science		aaas	10.1126/science.1248903						Total_Item_Investigations	2	2
Hippocampal Neurogenesis Regulates Forgetting During Adulthood and Infancy	American Association for the Advancement of Science		aaas	10.1126/science.1248903						Total_Item_Requests	2	2
Histone deacetylases in memory and cognition	American Association for the Advancement of Science		aaas	10.1126/scisignal.aaa0069						Unique_Item_Investigations	3	3
Histone deacetylases in memory and cognition	American Association for the Advancement of Science		aaas	10.1126/scisignal.aaa0069						Total_Item_Investigations	4	4
Histone deacetylases in memory and cognition	American Association for the Advancement of Science		aaas	10.1126/scisignal.aaa0069						No_License	4	4
Inhibition of p38α MAPK restores neuronal p38γ MAPK and ameliorates synaptic degeneration in a mouse model of DLB/PD	American Association for the Advancement of Science		aaas	10.1126/scitranslmed.abq6089						No_License	2	2
Intestinal Inflammation Targets Cancer-Inducing Activity of the Microbiota	American Association for the Advancement of Science		aaas	10.1126/science.1224820						Unique_Item_Investigations	1	1
Intestinal Inflammation Targets Cancer-Inducing Activity of the Microbiota	American Association for the Advancement of Science		aaas	10.1126/science.1224820						Unique_Item_Requests	1	1
Intestinal Inflammation Targets Cancer-Inducing Activity of the Microbiota	American Association for the Advancement of Science		aaas	10.1126/science.1224820						Total_Item_Investigations	3	3
Intestinal Inflammation Targets Cancer-Inducing Activity of the Microbiota	American Association for the Advancement of Science		aaas	10.1126/science.1224820						Total_Item_Requests	3	3
I’m a Black scientist, tired of facing racism and exclusion from academia	American Association for the Advancement of Science		aaas	10.1126/science.caredit.adg5570						Unique_Item_Investigations	1	1
I’m a Black scientist, tired of facing racism and exclusion from academia	American Association for the Advancement of Science		aaas	10.1126/science.caredit.adg5570						Unique_Item_Requests	1	1
I’m a Black scientist, tired of facing racism and exclusion from academia	American Association for the Advancement of Science		aaas	10.1126/science.caredit.adg5570						Total_Item_Investigations	1	1
I’m a Black scientist, tired of facing racism and exclusion from academia	American Association for the Advancement of Science		aaas	10.1126/science.caredit.adg5570						Total_Item_Requests	1	1
LMO2-Associated Clonal T Cell Proliferation in Two Patients after Gene Therapy for SCID-X1	American Association for the Advancement of Science		aaas	10.1126/science.1088547						Unique_Item_Investigations	2	2
LMO2-Associated Clonal T Cell Proliferation in Two Patients after Gene Therapy for SCID-X1	American Association for the Advancement of Science		aaas	10.1126/science.1088547						Unique_Item_Requests	2	2
LMO2-Associated Clonal T Cell Proliferation in Two Patients after Gene Therapy for SCID-X1	American Association for the Advancement of Science		aaas	10.1126/science.1088547						Total_Item_Investigations	5	5
LMO2-Associated Clonal T Cell Proliferation in Two Patients after Gene Therapy for SCID-X1	American Association for the Advancement of Science		aaas	10.1126/science.1088547						Total_Item_Requests	5	5
Massive study of dog aging likely to lose funding	American Association for the Advancement of Science		aaas	10.1126/science.zzo3rs7						Unique_Item_Investigations	1	1
Massive study of dog aging likely to lose funding	American Association for the Advancement of Science		aaas	10.1126/science.zzo3rs7						Unique_Item_Requests	1	1
Massive study of dog aging likely to lose funding	American Association for the Advancement of Science		aaas	10.1126/science.zzo3rs7						Total_Item_Investigations	1	1
Massive study of dog aging likely to lose funding	American Association for the Advancement of Science		aaas	10.1126/science.zzo3rs7						Total_Item_Requests	1	1
Mechanisms of antiwear tribofilm growth revealed in situ by single-asperity sliding contacts	American Association for the Advancement of Science		aaas	10.1126/science.1258788						Unique_Item_Investigations	1	1
Mechanisms of antiwear tribofilm growth revealed in situ by single-asperity sliding contacts	American Association for the Advancement of Science		aaas	10.1126/science.1258788						Unique_Item_Requests	1	1
Mechanisms of antiwear tribofilm growth revealed in situ by single-asperity sliding contacts	American Association for the Advancement of Science		aaas	10.1126/science.1258788						Total_Item_Investigations	2	2
Mechanisms of antiwear tribofilm growth revealed in situ by single-asperity sliding contacts	American Association for the Advancement of Science		aaas	10.1126/science.1258788						Total_Item_Requests	2	2
Microbes that gave rise to all plants and animals became multicellular 1.6 billion years ago, tiny fossils reveal	American Association for the Advancement of Science		aaas	10.1126/science.z4ibvhb						Unique_Item_Investigations	2	2
Microbes that gave rise to all plants and animals became multicellular 1.6 billion years ago, tiny fossils reveal	American Association for the Advancement of Science		aaas	10.1126/science.z4ibvhb						Unique_Item_Requests	2	2
Microbes that gave rise to all plants and animals became multicellular 1.6 billion years ago, tiny fossils reveal	American Association for the Advancement of Science		aaas	10.1126/science.z4ibvhb						Total_Item_Investigations	2	2
Microbes that gave rise to all plants and animals became multicellular 1.6 billion years ago, tiny fossils reveal	American Association for the Advancement of Science		aaas	10.1126/science.z4ibvhb						Total_Item_Requests	2	2
Modern Global Climate Change	American Association for the Advancement of Science		aaas	10.1126/science.1090228						Unique_Item_Investigations	1	1
Modern Global Climate Change	American Association for the Advancement of Science		aaas	10.1126/science.1090228						Unique_Item_Requests	1	1
Modern Global Climate Change	American Association for the Advancement of Science		aaas	10.1126/science.1090228						Total_Item_Investigations	1	1
Modern Global Climate Change	American Association for the Advancement of Science		aaas	10.1126/science.1090228						Total_Item_Requests	1	1
Network structure of the human musculoskeletal system shapes neural interactions on multiple time scales	American Association for the Advancement of Science		aaas	10.1126/sciadv.aat0497						Unique_Item_Investigations	1	1
Network structure of the human musculoskeletal system shapes neural interactions on multiple time scales	American Association for the Advancement of Science		aaas	10.1126/sciadv.aat0497						Unique_Item_Requests	1	1
Network structure of the human musculoskeletal system shapes neural interactions on multiple time scales	American Association for the Advancement of Science		aaas	10.1126/sciadv.aat0497						Total_Item_Investigations	2	2
Network structure of the human musculoskeletal system shapes neural interactions on multiple time scales	American Association for the Advancement of Science		aaas	10.1126/sciadv.aat0497						Total_Item_Requests	2	2
New solar panels suck water from air to cool themselves down	American Association for the Advancement of Science		aaas	10.1126/science.abc7497						Unique_Item_Investigations	1	1
New solar panels suck water from air to cool themselves down	American Association for the Advancement of Science		aaas	10.1126/science.abc7497						Unique_Item_Requests	1	1
New solar panels suck water from air to cool themselves down	American Association for the Advancement of Science		aaas	10.1126/science.abc7497						Total_Item_Investigations	1	1
New solar panels suck water from air to cool themselves down	American Association for the Advancement of Science		aaas	10.1126/science.abc7497						Total_Item_Requests	1	1
Open-access megajournals lose momentum as the publishing model matures	American Association for the Advancement of Science		aaas	10.1126/science.aaz4585						Unique_Item_Investigations	1	1
Open-access megajournals lose momentum as the publishing model matures	American Association for the Advancement of Science		aaas	10.1126/science.aaz4585						Unique_Item_Requests	1	1
Open-access megajournals lose momentum as the publishing model matures	American Association for the Advancement of Science		aaas	10.1126/science.aaz4585						Total_Item_Investigations	1	1
Open-access megajournals lose momentum as the publishing model matures	American Association for the Advancement of Science		aaas	10.1126/science.aaz4585						Total_Item_Requests	1	1
Persistent complement dysregulation with signs of thromboinflammation in active Long Covid	American Association for the Advancement of Science		aaas	10.1126/science.adg7942						Unique_Item_Investigations	1	1
