Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ar:106712
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	End_Date=2024-01-31; Begin_Date=2024-01-01
Created	2024-02-29T02:47:48Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024
Annual Review of Marine Science	Annual Reviews		Annual Reviews	10.1146/marine	ar:marine	1941-1405	1941-0611		OA_Gold	Unique_Item_Investigations	1	1
Annual Review of Marine Science	Annual Reviews		Annual Reviews	10.1146/marine	ar:marine	1941-1405	1941-0611		OA_Gold	Unique_Item_Requests	1	1
Annual Review of Marine Science	Annual Reviews		Annual Reviews	10.1146/marine	ar:marine	1941-1405	1941-0611		OA_Gold	Total_Item_Requests	1	1
Annual Review of Marine Science	Annual Reviews		Annual Reviews	10.1146/marine	ar:marine	1941-1405	1941-0611		OA_Gold	Total_Item_Investigations	2	2
Annual Review of Nutrition	Annual Reviews		Annual Reviews	10.1146/nutr.709	ar:nutr	0199-9885	1545-4312		Controlled	Unique_Item_Investigations	2	2
Annual Review of Nutrition	Annual Reviews		Annual Reviews	10.1146/nutr.709	ar:nutr	0199-9885	1545-4312		Controlled	Unique_Item_Requests	2	2
Annual Review of Nutrition	Annual Reviews		Annual Reviews	10.1146/nutr.709	ar:nutr	0199-9885	1545-4312		Controlled	Total_Item_Requests	3	3
Annual Review of Nutrition	Annual Reviews		Annual Reviews	10.1146/nutr.709	ar:nutr	0199-9885	1545-4312		Controlled	Total_Item_Investigations	4	4
Annual Review of Pathology: Mechanisms of Disease	Annual Reviews		Annual Reviews	10.1146/pathmechdis.808	ar:pathmechdis	1553-4006	1553-4014		Controlled	Unique_Item_Investigations	1	1
Annual Review of Pathology: Mechanisms of Disease	Annual Reviews		Annual Reviews	10.1146/pathmechdis.808	ar:pathmechdis	1553-4006	1553-4014		Controlled	Unique_Item_Requests	1	1
Annual Review of Pathology: Mechanisms of Disease	Annual Reviews		Annual Reviews	10.1146/pathmechdis.808	ar:pathmechdis	1553-4006	1553-4014		Controlled	Total_Item_Requests	2	2
Annual Review of Pathology: Mechanisms of Disease	Annual Reviews		Annual Reviews	10.1146/pathmechdis.808	ar:pathmechdis	1553-4006	1553-4014		Controlled	Total_Item_Investigations	3	3
Annual Review of Physiology	Annual Reviews		Annual Reviews	10.1146/physiol.713	ar:physiol	0066-4278	1545-1585		Controlled	Unique_Item_Investigations	2	2
Annual Review of Physiology	Annual Reviews		Annual Reviews	10.1146/physiol.713	ar:physiol	0066-4278	1545-1585		Controlled	Unique_Item_Requests	2	2
Annual Review of Physiology	Annual Reviews		Annual Reviews	10.1146/physiol.713	ar:physiol	0066-4278	1545-1585		Controlled	Total_Item_Requests	2	2
Annual Review of Physiology	Annual Reviews		Annual Reviews	10.1146/physiol.713	ar:physiol	0066-4278	1545-1585		Controlled	Total_Item_Investigations	2	2
Annual Review of Phytopathology	Annual Reviews		Annual Reviews	10.1146/phyto.714	ar:phyto	0066-4286	1545-2107		Controlled	Unique_Item_Investigations	2	2
Annual Review of Phytopathology	Annual Reviews		Annual Reviews	10.1146/phyto.714	ar:phyto	0066-4286	1545-2107		Controlled	Unique_Item_Requests	2	2
Annual Review of Phytopathology	Annual Reviews		Annual Reviews	10.1146/phyto.714	ar:phyto	0066-4286	1545-2107		Controlled	Total_Item_Requests	3	3
Annual Review of Phytopathology	Annual Reviews		Annual Reviews	10.1146/phyto.714	ar:phyto	0066-4286	1545-2107		Controlled	Total_Item_Investigations	4	4
Annual Review of Political Science	Annual Reviews		Annual Reviews	10.1146/polisci.715	ar:polisci	1094-2939	1545-1577		Controlled	Unique_Item_Investigations	1	1
Annual Review of Political Science	Annual Reviews		Annual Reviews	10.1146/polisci.715	ar:polisci	1094-2939	1545-1577		Controlled	Unique_Item_Requests	1	1
Annual Review of Political Science	Annual Reviews		Annual Reviews	10.1146/polisci.715	ar:polisci	1094-2939	1545-1577		Controlled	Total_Item_Requests	1	1
Annual Review of Political Science	Annual Reviews		Annual Reviews	10.1146/polisci.715	ar:polisci	1094-2939	1545-1577		Controlled	Total_Item_Investigations	1	1
Annual Review of Public Health	Annual Reviews		Annual Reviews	10.1146/publhealth.717	ar:publhealth	0163-7525	1545-2093		Controlled	Unique_Item_Investigations	2	2
Annual Review of Public Health	Annual Reviews		Annual Reviews	10.1146/publhealth.717	ar:publhealth	0163-7525	1545-2093		Controlled	Unique_Item_Requests	1	1
Annual Review of Public Health	Annual Reviews		Annual Reviews	10.1146/publhealth.717	ar:publhealth	0163-7525	1545-2093		Controlled	Total_Item_Requests	2	2
Annual Review of Public Health	Annual Reviews		Annual Reviews	10.1146/publhealth.717	ar:publhealth	0163-7525	1545-2093		Controlled	Total_Item_Investigations	3	3
Annual Review of Public Health	Annual Reviews		Annual Reviews	10.1146/publhealth.717	ar:publhealth	0163-7525	1545-2093		OA_Gold	Unique_Item_Investigations	4	4
Annual Review of Public Health	Annual Reviews		Annual Reviews	10.1146/publhealth.717	ar:publhealth	0163-7525	1545-2093		OA_Gold	Unique_Item_Requests	4	4
Annual Review of Public Health	Annual Reviews		Annual Reviews	10.1146/publhealth.717	ar:publhealth	0163-7525	1545-2093		OA_Gold	Total_Item_Requests	9	9
Annual Review of Public Health	Annual Reviews		Annual Reviews	10.1146/publhealth.717	ar:publhealth	0163-7525	1545-2093		OA_Gold	Total_Item_Investigations	10	10
Annual Review of Resource Economics	Annual Reviews		Annual Reviews	10.1146/resource	ar:resource	1941-1340	1941-1359		Controlled	Unique_Item_Investigations	1	1
Annual Review of Resource Economics	Annual Reviews		Annual Reviews	10.1146/resource	ar:resource	1941-1340	1941-1359		Controlled	Unique_Item_Requests	1	1
Annual Review of Resource Economics	Annual Reviews		Annual Reviews	10.1146/resource	ar:resource	1941-1340	1941-1359		Controlled	Total_Item_Requests	1	1
Annual Review of Resource Economics	Annual Reviews		Annual Reviews	10.1146/resource	ar:resource	1941-1340	1941-1359		Controlled	Total_Item_Investigations	1	1
Annual Review of Sociology	Annual Reviews		Annual Reviews	10.1146/soc.718	ar:soc	0360-0572	1545-2115		OA_Gold	Unique_Item_Investigations	1	1
Annual Review of Sociology	Annual Reviews		Annual Reviews	10.1146/soc.718	ar:soc	0360-0572	1545-2115		OA_Gold	Unique_Item_Requests	1	1
Annual Review of Sociology	Annual Reviews		Annual Reviews	10.1146/soc.718	ar:soc	0360-0572	1545-2115		OA_Gold	Total_Item_Requests	1	1
Annual Review of Sociology	Annual Reviews		Annual Reviews	10.1146/soc.718	ar:soc	0360-0572	1545-2115		OA_Gold	Total_Item_Investigations	1	1
