Report_Name	Book Requests (Excluding OA_Gold)
Report_ID	TR_B1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBC:upei
Metric_Types	Total_Item_Requests; Unique_Title_Requests
Report_Filters	Platform=ProQuest Ebook Central; Access_Method=Regular; Data_Type=Book; Access_Type=Controlled
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:53:52Z
Created_By	ProQuest Ebook Central

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Design of Experiments for Engineers and Scientists	Elsevier		ProQuest Ebook Central		EBC:286669	978-0-7506-4709-0				2003	Total_Item_Requests	37	37	0
Design of Experiments for Engineers and Scientists	Elsevier		ProQuest Ebook Central		EBC:286669	978-0-7506-4709-0				2003	Unique_Title_Requests	11	11	0
Design of Experiments for Engineers and Scientists	Elsevier		ProQuest Ebook Central		EBC:286669	978-0-7506-4709-0				2003	Total_Item_Requests	4	0	4
Design of Experiments for Engineers and Scientists	Elsevier		ProQuest Ebook Central		EBC:286669	978-0-7506-4709-0				2003	Unique_Title_Requests	3	0	3
Dietetic and Nutrition	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:7104200	978-1-119-16341-1				2016	Total_Item_Requests	13	13	0
Dietetic and Nutrition	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:7104200	978-1-119-16341-1				2016	Unique_Title_Requests	2	2	0
Differential Diagnosis in Small Animal Medicine	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:7103618	978-1-118-40968-8				2015	Total_Item_Requests	1	1	0
Differential Diagnosis in Small Animal Medicine	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:7103618	978-1-118-40968-8				2015	Unique_Title_Requests	1	1	0
Disability Incarcerated	Palgrave Macmillan		ProQuest Ebook Central		EBC:1765699	978-1-137-39323-4				2014	Total_Item_Requests	2	0	2
Disability Incarcerated	Palgrave Macmillan		ProQuest Ebook Central		EBC:1765699	978-1-137-39323-4				2014	Unique_Title_Requests	1	0	1
Disarm, Defund, Dismantle	Between the Lines		ProQuest Ebook Central		EBC:6944583	978-1-77113-592-4				2022	Total_Item_Requests	17	17	0
Disarm, Defund, Dismantle	Between the Lines		ProQuest Ebook Central		EBC:6944583	978-1-77113-592-4				2022	Unique_Title_Requests	7	7	0
Drummin' Men	Oxford University Press, Incorporated		ProQuest Ebook Central		EBC:422640					2002	Total_Item_Requests	1	0	1
Drummin' Men	Oxford University Press, Incorporated		ProQuest Ebook Central		EBC:422640					2002	Unique_Title_Requests	1	0	1
Dunes	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1161532					2013	Total_Item_Requests	2	2	0
Dunes	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1161532					2013	Unique_Title_Requests	1	1	0
Emerging Perspectives on Disability Studies	Palgrave Macmillan		ProQuest Ebook Central		EBC:1588832	978-1-137-37202-4				2013	Total_Item_Requests	6	0	6
Emerging Perspectives on Disability Studies	Palgrave Macmillan		ProQuest Ebook Central		EBC:1588832	978-1-137-37202-4				2013	Unique_Title_Requests	1	0	1
Engineering Economics	Global Media		ProQuest Ebook Central		EBC:3011354	978-93-5024-344-2				2009	Total_Item_Requests	1	0	1
Engineering Economics	Global Media		ProQuest Ebook Central		EBC:3011354	978-93-5024-344-2				2009	Unique_Title_Requests	1	0	1
Essentials of Clinical Infectious Diseases	Springer Publishing Company, Incorporated		ProQuest Ebook Central		EBC:1127904	978-1-936287-91-8				2013	Total_Item_Requests	2	0	2
Essentials of Clinical Infectious Diseases	Springer Publishing Company, Incorporated		ProQuest Ebook Central		EBC:1127904	978-1-936287-91-8				2013	Unique_Title_Requests	1	0	1
Essentials of Cross-Battery Assessment	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:832573	978-0-470-62195-0				2013	Total_Item_Requests	1	0	1
Essentials of Cross-Battery Assessment	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:832573	978-0-470-62195-0				2013	Unique_Title_Requests	1	0	1
Essentials of WAIS-IV Assessment	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:947578	978-1-118-27188-9				2012	Total_Item_Requests	17	0	17
Essentials of WAIS-IV Assessment	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:947578	978-1-118-27188-9				2012	Unique_Title_Requests	2	0	2
Essentials of WISC-V Integrated Assessment	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:5057719	978-1-119-37042-0				2017	Total_Item_Requests	2	2	0
Essentials of WISC-V Integrated Assessment	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:5057719	978-1-119-37042-0				2017	Unique_Title_Requests	1	1	0
Europe Un-Imagined	University of Toronto Press		ProQuest Ebook Central		EBC:5042383	978-1-4426-2879-3				2017	Total_Item_Requests	1	0	1
Europe Un-Imagined	University of Toronto Press		ProQuest Ebook Central		EBC:5042383	978-1-4426-2879-3				2017	Unique_Title_Requests	1	0	1
European Transformations	University of Notre Dame Press		ProQuest Ebook Central		EBC:3571177	978-0-268-03610-2				2012	Total_Item_Requests	1	0	1
European Transformations	University of Notre Dame Press		ProQuest Ebook Central		EBC:3571177	978-0-268-03610-2				2012	Unique_Title_Requests	1	0	1
Exemplary Instruction in the Middle Grades	Guilford Publications		ProQuest Ebook Central		EBC:836858	978-1-4625-0293-6				2011	Total_Item_Requests	9	9	0
Exemplary Instruction in the Middle Grades	Guilford Publications		ProQuest Ebook Central		EBC:836858	978-1-4625-0293-6				2011	Unique_Title_Requests	1	1	0
Explanation in Causal Inference	Oxford University Press, Incorporated		ProQuest Ebook Central		EBC:1920742	978-0-19-932587-0				2015	Total_Item_Requests	35	35	0
Explanation in Causal Inference	Oxford University Press, Incorporated		ProQuest Ebook Central		EBC:1920742	978-0-19-932587-0				2015	Unique_Title_Requests	13	13	0
Explanation in Causal Inference	Oxford University Press, Incorporated		ProQuest Ebook Central		EBC:1920742	978-0-19-932587-0				2015	Total_Item_Requests	12	0	12
Explanation in Causal Inference	Oxford University Press, Incorporated		ProQuest Ebook Central		EBC:1920742	978-0-19-932587-0				2015	Unique_Title_Requests	11	0	11
Extractive Economies and Conflicts in the Global South	Taylor & Francis Group		ProQuest Ebook Central		EBC:438859	978-0-7546-7075-9				2008	Total_Item_Requests	1	0	1
Extractive Economies and Conflicts in the Global South	Taylor & Francis Group		ProQuest Ebook Central		EBC:438859	978-0-7546-7075-9				2008	Unique_Title_Requests	1	0	1
Faculty Diversity	Taylor & Francis Group		ProQuest Ebook Central		EBC:958414	978-0-415-87845-6				2011	Total_Item_Requests	84	84	0
Faculty Diversity	Taylor & Francis Group		ProQuest Ebook Central		EBC:958414	978-0-415-87845-6				2011	Unique_Title_Requests	13	13	0
Faculty Diversity	Taylor & Francis Group		ProQuest Ebook Central		EBC:958414	978-0-415-87845-6				2011	Total_Item_Requests	41	0	41
Faculty Diversity	Taylor & Francis Group		ProQuest Ebook Central		EBC:958414	978-0-415-87845-6				2011	Unique_Title_Requests	8	0	8
Farm Animal Anesthesia	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1666535	978-1-118-47435-8				2014	Total_Item_Requests	2	2	0
Farm Animal Anesthesia	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1666535	978-1-118-47435-8				2014	Unique_Title_Requests	1	1	0
Feminist Anthropology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:7104553	978-1-4051-0195-0				2006	Total_Item_Requests	4	4	0
Feminist Anthropology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:7104553	978-1-4051-0195-0				2006	Unique_Title_Requests	1	1	0
Fish Respiration and Environment	Taylor & Francis Group		ProQuest Ebook Central		EBC:3404259	978-1-57808-357-2				2007	Total_Item_Requests	2	2	0
Fish Respiration and Environment	Taylor & Francis Group		ProQuest Ebook Central		EBC:3404259	978-1-57808-357-2				2007	Unique_Title_Requests	1	1	0
Fisher, Neyman, and the Creation of Classical Statistics	Springer		ProQuest Ebook Central		EBC:770143	978-1-4419-9499-8				2011	Total_Item_Requests	1	1	0
Fisher, Neyman, and the Creation of Classical Statistics	Springer		ProQuest Ebook Central		EBC:770143	978-1-4419-9499-8				2011	Unique_Title_Requests	1	1	0
Food Borne Pathogens and Antibiotic Resistance	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:4770953	978-1-119-13915-7				2017	Total_Item_Requests	2	0	2
Food Borne Pathogens and Antibiotic Resistance	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:4770953	978-1-119-13915-7				2017	Unique_Title_Requests	1	0	1
